Final Scoring (wins as O, wins as X, heuristic used):
8 9 (-0.4, 90, -0.1, 70, 0.7, -35, 0.2, 25, 0.6, -85)
12 12 (0.721, -1.482, -0.058, 26.686, 0.6, 34.349, 0.025, -42.5, 0.55, -40.238)
18 12 (-0.004, 140.001, 0.2, 74.0, 0.0, 30.0, 0.057, -38.182, 0.7, -50)
11 8 (0.506, 87.5, 0.9, -15.0, 0.888, 5.615, -0.25, -55.0, 0.4, -38.045)
9 15 (0.721, -1.482, -0.008, 26.686, 0.6, 39.349, 0.025, -42.5, 0.55, -40.238)
12 15 (0.35, 16.2, 0.319, 23.2, 0.6, 95.0, 0.15, -65.0, 0.05, -15.0)
20 22 (1.4, -15.0, 0.85, 20.0, 0.1, 60.0, -0.4, -20.0, -0.3, -20.0)
15 13 (0.0, 94.286, 0.2, 79.0, 0.0, 30.0, -0.0, -25.714, 0.7, -50)
2 4 (0.231, 180.0, 0.45, -20.0, 0.1, 100.6, -1.0, -95.0, -0.45, -85.0)
16 10 (0.65, 65.0, 0.25, 65.0, -0.777, -19.4, 0.4, -35.0, 0.47, -12.2)
7 12 (-0.091, 57.3, 0.95, 15.0, 1.05, -55.0, -0.5, -15.0, -0.65, -35.0)
14 15 (0.3, 16.2, 0.319, 30.1, 0.396, 100.0, 0.1, -65.0, 0.033, -15.0)
9 10 (0.971, 20.0, 0.2, 65.0, -0.68, -86.2, 0.9, -10.0, 0.65, -95.0)
14 18 (0.25, 55.6, 0.757, 25.0, 0.04, 4.1, -0.6, -15.0, 0.68, -13.6)
8 15 (-0.091, 57.3, 0.95, 15.0, 1.05, -55.0, -0.5, -15.0, -0.6, -30.0)
15 16 (0.65, 65.0, 0.25, 65.0, -0.777, -24.4, 0.4, -30.0, 0.47, -12.2)
14 15 (-0.1, 70, -0.3, 80, 0.55, -40, -0.1, 30, 0.3, -45)
6 17 (0.506, 46.285, 0.9, -15.0, 0.888, 5.615, -0.25, -55.0, 0.4, -71.923)
11 15 (0.074, 144.0, 0.058, 164.0, -0.085, 278.3, -0.7, -90.0, 0.35, -70.0)
6 6 (0.281, 180.0, 0.45, -20.0, 0.1, 105.6, -1.0, -95.0, -0.45, -85.0)
15 18 (0.185, 55.6, 0.75, 25.0, 0.04, 9.1, -0.55, -15.0, 0.68, -13.6)
10 14 (0.971, 25.0, 0.2, 65.0, -0.63, -81.2, 0.9, -10.0, 0.65, -95.0)
14 19 (0.067, 141.6, 0.058, 164.0, -0.085, 278.3, -0.372, -82.1, 0.35, -70.0)
